hood_id,Assault,Auto Theft,Break and Enter,Robbery,Theft Over,No Degree %,Highschool %,Post-secondary %
1,1082,1181,503,306,192,21.711623904861625,30.94286119911993,47.34551489601844
2,1048,217,140,387,14,30.363226963122504,30.199156050832823,39.43761698604468
3,225,62,86,92,10,24.65153752236009,27.933075896533122,47.41538658110679
4,285,83,62,75,4,22.421934655637322,30.24629107205731,47.33177427230537
5,246,59,56,78,5,25.276329301792238,33.99077208910758,40.73289860910018
6,452,186,143,91,18,23.5890609922576,31.102578477385286,45.30836053035711
7,374,176,166,135,17,18.106099869139978,27.342380109639684,54.551520021220334
8,148,109,105,41,16,18.593202314132544,28.423974935602843,52.98282275026461
9,94,86,169,19,13,12.377599384536545,22.851522241840684,64.77087837362278
10,67,74,109,36,11,10.488376452943383,20.19389863501105,69.31772491204556
11,247,111,121,73,16,15.634781413748785,26.461343443031144,57.90387514322007
12,71,42,88,25,8,11.814963015324027,24.89106561308727,63.293971371588704
13,208,50,82,23,6,17.488379573783675,27.751507840772014,54.76011258544431
14,831,406,440,174,143,13.129592613674347,23.858620140057685,63.01178724626798
15,113,65,112,65,13,6.997919980172298,16.638355007051782,76.36372501277592
16,332,116,211,62,29,12.240136511375443,21.0147217915317,66.74514169709286
17,978,141,230,67,54,15.501608307439259,24.13675599153605,60.361635701024696
18,396,47,140,83,13,16.991950835423165,25.69870337313515,57.30934579144168
19,240,47,105,40,8,15.269565122959051,26.88348075388099,57.846954123159954
20,152,59,99,28,27,19.379593642608405,28.784284259467626,51.836122097923976
21,532,269,207,137,66,34.757673420464116,28.71921494741262,36.52311163212326
22,399,153,87,78,18,28.96938565882577,30.367450469088155,40.66316387208607
23,186,127,106,72,19,24.625790386659954,29.46787838092186,45.90633123241819
24,1058,197,112,212,41,37.457522621595466,30.651009640953184,31.891467737451343
25,1050,177,137,177,25,39.46395050848777,29.1850627110153,31.350986780496928
26,1382,339,270,233,55,29.27705887016374,29.155845557404504,41.56709557243176
27,1248,412,425,286,144,22.637364487819696,30.18893047453941,47.173705037640886
28,340,66,94,66,4,32.68587726199843,30.95725150799895,36.356871230002625
29,177,64,66,40,10,29.585553582001182,27.65605747843758,42.75838893956123
30,344,101,111,77,18,30.19105534345543,29.145137104634745,40.66380755190982
31,571,208,229,102,87,27.82558664951138,27.840444352541127,44.333968997947494
32,336,96,156,95,16,14.326840114156767,25.670339151788678,60.00282073405456
33,202,172,158,31,14,12.957118964176306,23.486302179075345,63.556578856748345
34,294,122,176,49,29,12.789438105255252,25.64685593320178,61.56370596154296
35,334,89,184,35,17,11.561974548095021,24.101331382259644,64.33669406964533
36,409,85,204,80,21,12.043598905390471,26.515546156621884,61.440854937987645
37,236,42,102,26,10,11.385459533607682,20.98765432098765,67.62688614540467
38,212,83,152,32,19,9.720372836218376,20.77230359520639,69.50732356857523
39,217,163,403,62,45,10.713114404975837,21.22567333398535,68.06121226103882
40,222,77,333,43,45,9.621569794501953,20.863283227290964,69.5151469782071
41,87,30,183,6,15,8.526254541639462,21.06948315868944,70.4042622996711
42,320,58,258,63,36,9.959400860499601,22.01227082832596,68.02832831117443
43,279,41,100,35,17,20.248240821179778,25.981993120956812,53.769766057863414
